,,,,,18-06-2026 18:44:43,,,,,,,,,
,,,PREFEITURA MUNICIPAL DE CORONEL FABRICIANO,,,,,,,,,,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,,,
,,,Contratos,,,,,,,,,,,
,,,,,,,,,,,,,,
Contrato,Vigência,,,Fornecedor,,Modalidade,,,,,Valor Inicial,Objeto,,
,,,,,,,,,Processo,,,,,
123/2026,15/03/2027,,,ACACIA CASA E JARDIM LTDA [10.278.338/0001-63],,04 - CONCORRÊNCIA,,79/2026,,"486229,57",,"Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão-de-obra, materiais, equipamentos, para Reconstrução da Ponte localizada na Rua Nove, entre os Bairros Santa Cruz e Santa Inês, no Município de Coronel Fabriciano/MG, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte receita, Recursos não Vinculados de Impostos.",,
122/2026,14/06/2031,,,MAGESTY SERVICOS ODONTOLOGICOS LTDA [66.931.583,,09 - INEXIGIBILIDADE,,26/2026,,"84000,00",,"Credenciamento de pessoas jurídicas especializadas para a prestação de serviços de bucomaxilofacial, consultas, procedimentos e cirurgias de urgência, no Município de Coronel Fabriciano, conforme Resolução n º 020 de 19 de dezembro de 2025, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
121/2026,14/06/2031,,,CLINICA ODONTOLOGICA VIVANT BLANC LTDA [21.170.096,,09 - INEXIGIBILIDADE,,26/2026,,"84000,00",,"Credenciamento de pessoas jurídicas especializadas para a prestação de serviços de bucomaxilofacial, consultas, procedimentos e cirurgias de urgência, no Município de Coronel Fabriciano, conforme Resolução n º 020 de 19 de dezembro de 2025, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
120/2026,12/06/2027,,,MG REIS LTDA [66.763.968/0001-88],,09 - INEXIGIBILIDADE,,67/2026,,"134400,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
119/2026,12/06/2027,,,MAGESTY SERVICOS ODONTOLOGICOS LTDA [66.931.583,,09 - INEXIGIBILIDADE,,67/2026,,"67200,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
118/2026,16/06/2027,,,CL SERVICOS DE MEDICINA LTDA [36.926.886/0001-46],,09 - INEXIGIBILIDADE,,56/2026,,"187500,00",,"Contratação, por meio de Credenciamento, de empresas prestadoras de serviços de saúde para execução de procedimentos especializados de pequenas cirurgias ambulatoriais, especialmente exéreses e biópsias de lesões cutâneas, a serem realizados nas dependências do Centro de Especialidades Médicas (CEM) do Município de Coronel Fabriciano/MG, em atendimento a Secretaria de Governança da Saúde, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
117/2026,17/06/2027,,,KC ABREU INFRAESTRUTURA LTDA [24.295.837/0001-73],,04 - CONCORRÊNCIA,,20/2026,,"9690000,00",,"Contratação de empresa por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos para prestação de serviços de confecção/usinagem de concreto asfáltico usinado a quente – CAUQ e aplicação de CAUQ e demais serviços pertinentes, tais como pavimentações de vias urbanas, ",,
Exercício: 2026,,,,,,,República Federativa do Brasil,,,,,,Página: 1 de, 36
Contrato,Vigência,Fornecedor,Modalidade,,,,,Valor Inicial,Objeto,,
,,,,,,Processo,,,,,
,,,,,,,,,"recapeamentos e correlatos, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte de receita, Transferências da União Referentes a Compensações Financeiras pela Exploração de Recursos Naturais e Recursos não Vinculados de Impostos.",,
116/2026,12/06/2027,POS DADOS COMÃ‰RCIO E SERVIÃ‡OS DE ASSISTÃŠNCIA ,30 - PREGÃO ELETRÔNICO,,17/2026,,"311400,00",,"Contratação de empresa para Locação de Sistemas de Energia Ininterrupta (Nobreaks) com Instalação e Suporte, compreendendo a disponibilização dos equipamentos, configuração e manutenção integral (preventiva e corretiva), com fornecimento de peças e baterias, em atendimento à Secretaria de Governança de Gestão e Transparência e Secretaria de Governança da Saúde, tendo como fonte de receita: Recursos Não Vinculados de Impostos, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual.",,
115/2026,08/06/2031,PET MOVEL LTDA [63.918.302/0001-63],09 - INEXIGIBILIDADE,,46/2026,,"3500000,00",,"Credenciamento de empresas especializadas na prestação de serviços de esterilização cirúrgica (castração) de cães e gatos, incluindo resgate com veículo equipado, fornecimento de hospedagem, microchipagem, vacinas, entre outros procedimentos, conforme Resolução n º 002 de 11 de fevereiro de 2026, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
114/2026,08/06/2027,THOMAZ & FROIS ODONTOLOGIA LTDA [32.690.699/0001-55],09 - INEXIGIBILIDADE,,67/2026,,"336000,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
113/2026,29/05/2027,J LUCAS RAPOSO [66.765.172/0001-64],09 - INEXIGIBILIDADE,,136/2025,,"779760,00",,"O objeto do presente edital é o credenciamento de pessoa jurídica para realizar atividade de orientação em atividades lúdicas e físicas, para participantes do Programa “MEXA-SE HÁBITOS DE VIDA SAUDÁVEL”, que são eles: educador físico, psicólogo e nutricionista, em conformidade com o plano operativo constante no Termo de Referência, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
112/2026,03/06/2027,ML PROMOCOES DE EVENTOS LTDA [71.410.427/0001-06],30 - PREGÃO ELETRÔNICO,,57/2026,,"214000,00",,"Contratação de empresa para prestação de Serviços de Organização, Coordenação Técnica, Administração, Arbitragem, Equipe de Apoio e Segurança, para realização dos Jogos Escolares – JEF 2026, módulos I, II e III, com alunos dos finais do ensino fundamental e do ensino médio das redes Municipais, Estaduais e Particulares, Jogos da Inclusão e Integração – JIICF 2026, com alunos do 1º ao 5º ano da rede Municipal e Jogos Recreativos da Primeira Infância – JRPICF 2026, com alunos da Educação Infantil de 01 a 05 anos, em atendimento à Secretaria de Governança Educacional e Cultura, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
111/2026,08/06/2027,MINAS VALE DISTRIBUIDORA DE ALIMENTOS EIRELI - EPP ,30 - PREGÃO ELETRÔNICO,,4/2026,,"113622,50",,"Aquisição de Fraldas Geriátricas Descartáveis, em atendimento à Secretaria de Governança da Saúde e Secretaria de Governança de Assistência Social, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
110/2026,01/07/2027,M.N.P. CUSTODIO COMERCIO DE PRODUTOS ,30 - PREGÃO ELETRÔNICO,,4/2026,,"235856,25",,"Aquisição de Fraldas Geriátricas Descartáveis, em atendimento à Secretaria de Governança da Saúde e Secretaria de Governança de Assistência Social, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
