,,,,,,18-06-2026 18:43:20,,,,,,
,,,PREFEITURA MUNICIPAL DE CORONEL FABRICIANO,,,,,,,,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,
,,,Lista de Processos Licitatórios,,,,,,,,,
,,,,,,,,,,,,
Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
,,,,,,,,Publicação,,,,
61/2026,CONCORRÊNCIA,,,8,30-06-2026 13:00 <br> 30-,,,11-06-2026,Publicado,"Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos, para execução de reconstrução das cabeceiras da ponte localizada na Rua Rubens Siqueira Maia, contemplando duas alas: ala 01, com 18,30 metros de comprimento por 6,10 metros de altura e ala 02, com 9,60 metros de comprimento por 7,00 metros de altura (Meta 01) e reconstrução da rua adjacente a ponte da Rua Rubens Siqueira Maia (Meta 02), em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte de receita, Outras Vinculações de Transferências da União.",,
63/2026,PREGÃO ELETRÔNICO,,,29,29-06-2026 13:00 <br> 29-,,,12-06-2026,Publicado,"Aquisição de Tomógrafo, para atender ao Centro de Especialidades Médicas – CEM, conforme Convênio nº 1321001817/2025, celebrado entre o Estado de Minas Gerais, por intermédio da Secretaria de Estado de Saúde de Minas Gerais e o Município de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências do Estado Referentes a Convênios e Instrumentos Congêneres.  	",,
62/2026,PREGÃO ELETRÔNICO,,,33,26-06-2026 13:00 <br> 26-,,,15-06-2026,Publicado,"Aquisição de materiais esportivos para utilização em atendimento aos usuários do “Programa Mexa-se: Hábitos de Vida Saudável”, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Outras Transferências de Convênios ou Instrumentos Congêneres da União e Recursos não Vinculados de Impostos.",,
57/2026,CONCORRÊNCIA,,,9,25-06-2026 13:00 <br> 25-,,,11-06-2026,Publicado,"Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão-de-obra, materiais e equipamentos, para execução de serviços de terraplanagem e demolições, utilizando veículos e máquinas pesadas, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte receita, Recursos de Alienação de Bens/Ativos – Administração Direta, Royalties e Participação Especial de Petróleo e Gás Natural Vinculados à Saúde e Recursos não Vinculados de Impostos.",,
47/2026,PREGÃO ELETRÔNICO,,,11,22-06-2026 13:00 <br> 22-,,,06-05-2026,Publicado,"Aquisição de veiculos automotores para atender as demandas das Unidades da Secretaria de Governança de Assistência social, tendo como fonte de receita, Transferência de Recursos do Fundo Nacional de Assistência Social.",,
54/2026,PREGÃO ELETRÔNICO,,,32,22-06-2026 13:00 <br> 22-,,,09-06-2026,Publicado,"Registro de Preços, para futura e eventual aquisição de materiais de limpeza e produtos de uso hospitalar, fracassados e desertos no Pregão Eletrônico nº 062/2025, Processo de Compra nº 250/2025, Processo Licitatório nº 155/2025, com cessão de equipamentos dosadores, em regime de comodato, para atender as necessidades do Hospital Doutor José Maria Morais e UPA 24 horas Doutor Walter Luiz Winter Maia, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita: Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
44/2026,CONCORRÊNCIA,,,6,10-06-2026 13:00 <br> 10-,,,04-05-2026,Homologado,"Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão-de-obra, materiais, equipamentos, para execução de serviço de recapeamento da Rua Turquia, Bairro São Domingos, no Município de Coronel Fabriciano/MG, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte receita, Transferência Especial da União.",,
60/2026,INEXIGIBILIDADE,,,19,09-06-2026 13:00 <br> 09-,,,12-06-2026,Homologado,"Contratação da empresa NEUROBRINQ INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS ELÉTRICOS LTDA, para implantação, estruturação de salas multissensoriais e treinamento da equipe, com fornecimento de equipamentos de propriedade intelectual, com o objetivo de atender crianças com transtorno do Espectro Autista (TEA), em atendimento à Secretaria de Governança da Saúde, no valor global de R$ 306.269,97 (trezentos e seis mil, duzentos e sessenta e nove reais e noventa e sete centavos), tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal e Recursos não Vinculados de Impostos,  nos termos do art. 74 inciso I, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
Exercício: 2026,,,,,,,República Federativa do Brasil,,,,Página: 1 de, 32
Processo,Modalidade,Nro. Modalidade,Abertura,,,Situação,Objeto,,
,,,,,Publicação,,,,
59/2026,INEXIGIBILIDADE,20,08-06-2026 15:00 <br> 08-,,12-06-2026,Homologado,"Contratação da empresa FAMA EVENTOS LTDA, representante exclusiva da Banda M JACK, para apresentação de show artístico musical no 3º Festival de Inverno, a ser realizado no dia 18 de julho de 2026, no Distrito de Cocais no Município de Coronel Fabriciano/MG, no valor global de R$ 35.000,00 (trinta e cinco mil reais), tendo como fonte de receita, Recursos não Vinculados de Impostos,  nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
58/2026,INEXIGIBILIDADE,18,08-06-2026 13:00 <br> 08-,,12-06-2026,Homologado,"Contratação da empresa 42.734.151 SIDNEY SILVEIRA SANTOS, representante exclusiva da Banda GERTRUDES, para apresentação de show artístico musical no 3º Festival de Inverno, a ser realizado no dia 19 de julho de 2026, no Distrito de Cocais no Município de Coronel Fabriciano/MG, no valor global de R$ 17.000,00 (dezessete mil reais), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
53/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,1,03-06-2026 13:00 <br> 03-,,21-05-2026,Homologado,"Registro de Preços para eventual e futura aquisição de insumos laboratoriais destinados a realização em atendimento à Agência Transfusional do Laboratório de Análises Clínicas, para atendimento do Hospital Doutor José Maria Morais (HJMM) e da Unidade de Pronto Atendimento – UPA 24 Horas Doutor Walter Luiz Winter Maia, integrantes da rede de urgência e emergência da Prefeitura Municipal de Coronel Fabriciano. Utilizando Recursos Não Vinculados de Impostos, Transferência Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal e Transferência Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual.",,
51/2026,PREGÃO ELETRÔNICO,26,03-06-2026 13:00 <br> 03-,,19-05-2026,Homologado,"Aquisição de gêneros alimentícios do tipo hortifrutigranjeiros, fracassados no Pregão Eletrônico nº 001/2026, Processo de Compras nº 371/2025,Processo Licitatório nº 239/2025, em atendimento à Secretaria de Governança de Assistência Social; Secretaria de Governança Educacional e Cultura e Secretaria de Governança da Saúde, para o ano de 2026, tendo como fonte a receita, Transferências de Recursos do FNDE referentes ao Programa Nacional de Alimentação Escolar (PNAE), Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
52/2026,PREGÃO ELETRÔNICO,30,01-06-2026 13:00 <br> 01-,,20-05-2026,Homologado,"Aquisição de materiais permanentes frustrados no Pregão Eletrônico nº 083/2025, Processo de Compra nº 312/2025, Processo Licitatório nº 197/2025, para assegurar a continuidade, eficiência e qualidade dos serviços das unidades públicas sob a responsabilidade administrativa da Secretaria de Governança de Assistência Social, tendo como fonte de receita, Recursos Não Vinculados de Impostos.",,
27/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,17,01-06-2026 13:00 <br> 01-,,21-05-2026,Homologado,"Registro de Preços para eventual e futura aquisição de insumos, reagentes laboratoriais e consumíveis laboratoriais destinados ao setor de coagulação (hemostasia) do Laboratório de Análises Clínicas, em atendimento ao Hospital Doutor José Maria Morais (HJMM) e da Unidade de Pronto Atendimento – UPA 24 Horas Doutor Walter Luiz Winter Maia, integrantes da rede de urgência e emergência da Prefeitura Municipal de Coronel Fabriciano, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
55/2026,INEXIGIBILIDADE,22,29-05-2026 13:00 <br> 29-,,28-05-2026,Em Andamento,"Credenciamento para prestação de serviços médicos, em nível ambulatorial e hospitalar de toda rede de urgência e emergência, em atendimento a secretaria de governança da saúde de Coronel Fabriciano, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes Estadual e Transferências Fundo a Fundo de Recursos do SUS Provenientes Federal.

",,
50/2026,PREGÃO ELETRÔNICO,27,28-05-2026 13:30 <br> 28-,,18-05-2026,Homologado,"Aquisição de veículos automotores, zero quilômetro, para transporte de equipes da Secretaria de Governança da Saúde e de usuários do SUS/MG em caráter eletivo, em atendimento às Resoluções SES nº 9.587/2024, nº 10.238/2025 e nº 10.366/2025, assim como para reposição de veículo vítima de sinistro, cujo valor foi ressarcido pela seguradora, tendo como fonte de receita, Transferências de Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual, Outros Recursos não Vinculados e Recursos de Alienação de Bens/Ativos.  ",,
56/2026,DISPENSA DE LICITAÇÃO,6,08-06-2026 13:00 <br> 28-,,28-05-2026,Em Andamento,"Contratação de empresa, para prestação de serviços de coleta, transporte e destinação de efluentes líquidos de fossa séptica, utilizando caminhão sugador, na Escola Municipal Maria Conceição Ataíde, no Cocais dos Arrudas, para o período de 12 (doze) meses, em atendimento à Secretaria de Governança Educacional e Cultura, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
