processo,modalidade,numero_modalidade,data_abertura,data_publicacao,situacao,objeto,ano,data_abertura_limpa,mes_publicacao,ano_mes_publicacao,categoria;
"237/2025,CONCORRÊNCIA,24,21-05-2026 13:00 <br> 21-,2026-05-05,DESERTO,""O objeto da presente licitação é selecionar a melhor proposta para exploração e prestação do serviço público de transporte coletivo urbano de passageiros em Coronel Fabriciano/MG, mediante concessão, baseado na tecnologia do ônibus, com suas variantes dimensionais exclusivamente nas modalidades descritas no ANEXO I deste edital de convocação, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos."",2025,2026-05-21,5,2026-05,Obras e Engenharia";
240/2025,CHAMADA PÚBLICA,2,27-03-2026 14:00 <br> 27-,2026-03-06,HOMOLOGADO,Concessão de apoio da Administração Pública Municipal para a execução de atividades de implantação e desenvolvimento de iniciação instrumental e musical para os alunos das Escolas Municipais da Secretaria de Governança Educacional e Cultura da Prefeitura Municipal de Coronel Fabriciano/MG.,2025,2026-03-27,3,2026-03,Eventos e Cultura;
"239/2025,PREGÃO ELETRÔNICO,1,25-02-2026 13:00 <br> 25-,2026-02-11,HOMOLOGADO,""Aquisição de gêneros alimentícios do tipo hortifrutigranjeiros, em atendimento à Secretaria de Governança de Assistência Social";" Secretaria de Governança Educacional e Cultura e Secretaria de Governança da Saúde, para o ano de 2026, tendo como fonte a receita, Transferências de Recursos do FNDE referentes ao Programa Nacional de Alimentação Escolar (PNAE), Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde e Recursos não Vinculados de Impostos."",2025,2026-02-25,2,2026-02,Alimentação"
"233/2025,PREGÃO ELETRÔNICO,92,09-02-2026 13:30 <br> 09-,2026-01-07,HOMOLOGADO,""Aquisição de veículo automotor tipo picape, para atender ao plano de trabalho do Município de Coronel Fabriciano, aprovado em resposta ao “Acordo Judicial para Reparação Integral e Definitiva Relativa ao Rompimento da Barragem de Fundão”, afim de suprir a demanda do Departamento de Endemias e Zoonoses, nas ações de borrifação “Fumacê”, para o combate às arboviroses, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal."",2025,2026-02-09,1,2026-01,Veículos e Transporte";
"230/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,96,05-02-2026 13:00 <br> 05-,2026-01-19,HOMOLOGADO,""Futura e eventual aquisição de Pães para assegurar a continuidade de fornecimento nas unidades do Sistema Único de Assistência Social - SUAS sob gestão da Secretaria de Governança de Assistência Social, para Hospital Dr. José Maria Morais, Unidade de Pronto Atendimento –, Centro de Atenção Psicossocial – CAPS II, Centro de Atenção Psicossocial Infanto-Juvenil - CAPSI sob gestão da Secretaria de Governança da Saúde e Secretaria de Governança Educacional e Cultura para o ano de 2026, conforme condições, quantidades e"",2025,2026-02-05,1,2026-01,Alimentação";
"235/2025,CONCORRÊNCIA,26,02-02-2026 13:00 <br> 02-,2026-01-09,HOMOLOGADO,""Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos, para execução da obra de construção de Unidade Básica de Saúde no Bairro Santa Terezinha II, no Município de Coronel Fabriciano/MG, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal."",2025,2026-02-02,1,2026-01,Obras e Engenharia";
"236/2025,CONCORRÊNCIA,25,30-01-2026 13:30 <br> 30-,2026-01-12,HOMOLOGADO,""da presente licitação é a contratação de empresa especializada na área de engenharia para execução de obra de construção de unidade básica de saúde no bairro Melo Viana, Coronel Fabriciano/MG, com fornecimento de mão de obra, materiais e equipamentos, em atendimento à Secretaria de Governança de Saúde em conformidade com o Programa Especial de Saúde do Rio Doce, visando o fortalecimento, ampliação e melhorias da infraestrutura de saúde através do Eixo 3, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal."",2025,2026-01-30,1,2026-01,Obras e Engenharia";
"229/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,97,30-01-2026 13:00 <br> 30-,2026-01-15,HOMOLOGADO,""Registro de Preços para futura e eventual aquisição de carnes e frios, para atendimento às demandas da Secretaria de Governança da Saúde/Hospital Doutor José Maria Morais, Secretaria de Governança de Assistência Social e Secretaria de Governança Educacional e Cultura, para o ano de 2026, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual, Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar - PNAE e Recursos não Vinculados de Impostos."",2025,2026-01-30,1,2026-01,Alimentação";
"234/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,94,28-01-2026 13:00 <br> 28-,2026-01-12,HOMOLOGADO,""Futura e eventual aquisição de fita reagente e glicosímetro para aferição de glicemia capilar da marca Roche (modelo ACCU-CHEK ACTIVE), para dispensação aos pacientes portadores de diabetes mellitus tipo 1 (DM1), diabetes mellitus tipo 2 (DM2) em insulinoterapia e diabetes gestacional (DG), nas farmácias municipais e ambulatórios de enfermagem das Unidades Básicas de Saúde, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2026-01-28,1,2026-01,Saúde";
"217/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,95,28-01-2026 13:30 <br> 28-,2026-01-14,HOMOLOGADO,""Registro de Preço para futura e eventual aquisição contínua dos medicamentos para administrar nos pacientes internados / atendidos no hospital Dr. José Maria Morais (HJMM), para administrar nos pacientes atendidos na upa 24 horas Dr. Walter Luiz Winter Maia, para dispensar para os pacientes atendidos e acompanhados pela atenção básica, atenção especializada e saúde mental da secretaria de governança da saúde do município de Coronel Fabriciano/MG, com vigência de 12 (doze) meses, tendo como fonte de receitas, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2026-01-28,1,2026-01,Saúde";
